"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"1","nars","nars_4387","2017-08-15","al","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Mobile Bay","Upper East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",6.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"2","nars","nars_4388","2017-08-17","al","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Apalachicola","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"3","nars","nars_4382","2017-07-12","al","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Mobile Bay","Upper East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"4","nars","nars_4385","2017-07-11","al","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Mobile Bay","Upper East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",6.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"5","nars","nars_4381","2017-08-14","al","East South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Mobile Bay","Cumberlands And Southern Ridge And Valley","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",6.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"6","nars","nars_4389","2017-09-06","al","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Mobile Bay","Upper East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",33.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"7","nars","nars_4379","2017-07-10","al","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Mobile Bay","Upper East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Broadleaf and Mixed Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"8","nars","nars_4384","2017-08-16","al","East South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Mobile Bay","East Gulf Coastal Plain","temperate floodplain rivers and wetlands","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"9","nars","nars_4416","2017-07-10","az","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Colorado","Colorado Plateau","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"10","nars","nars_4426","2017-05-11","az","Mountain","NORTH AMERICAN DESERTS","WARM DESERTS","Gila","Sonoran Desert","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Lower Colorado Region","Mountains","Pacific","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",21.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"11","nars","nars_4404","2017-08-10","ar","West South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Ouachita Highlands","Upper West Gulf Coastal Plain","temperate upland rivers","Temperate Conifer Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",15.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
